"g","e","fit","se","lower","upper"
"1.7","400",-2.17241787676154,0.0191783305008981,-2.21000800674364,-2.13482774677944
"2","400",-2.2036237390639,0.0184486607444538,-2.23978369341171,-2.16746378471609
"3","400",-1.7827010557986,0.0179428959291987,-1.81786969522748,-1.74753241636972
"1.7","1500",-2.90013992197059,0.0169646136763317,-2.93339109746574,-2.86688874647543
"2","1500",-2.80977632486939,0.0163735644637593,-2.84186902534894,-2.77768362438985
"3","1500",-2.33521854800304,0.016079789153168,-2.36673543964927,-2.30370165635681
"1.7","10000",-4.0510190208264,0.0154139734842736,-4.08123089285496,-4.02080714879784
"2","10000",-3.82067016059051,0.0149357747089431,-3.84994474800396,-3.79139557317706
"3","10000",-3.1999048760583,0.0147746784198894,-3.22886370968677,-3.17094604242982
