"nH","g","fit","se","lower","upper"
"0.1","1.7",-3.42965689165419,0.0185281325291105,-3.46597261319535,-3.39334117011303
"0.5","1.7",-3.40827032439304,0.0187331269230635,-3.44498784138317,-3.3715528074029
"5","1.7",-3.05654576716096,0.0199937381912535,-3.09573412181999,-3.01735741250192
"10","1.7",-2.65150725517673,0.021138632707725,-2.69293963903778,-2.61007487131568
"0.1","2",-3.34167994061838,0.0180450697666614,-3.37704884397694,-3.30631103725981
"0.5","2",-3.32177814711343,0.0180821466084767,-3.35721972224617,-3.28633657198069
"5","2",-2.92398083166998,0.0191998318046281,-2.96161310488254,-2.88634855845742
"10","2",-2.4911502449889,0.0203288683011492,-2.53099546518643,-2.45130502479137
"0.1","3",-2.67405902469319,0.0176960758144368,-2.70874388894697,-2.63937416043941
"0.5","3",-2.66767763412794,0.017757303843867,-2.70248250724197,-2.63287276101391
"5","3",-2.42223463669356,0.0188518562246901,-2.459184866843,-2.38528440654413
"10","3",-2.31176057182743,0.0200621167744572,-2.35108295065663,-2.27243819299823
