"g","T","fit","se","lower","upper"
"1.7","0.5",-2.34405486106276,0.0221866693010545,-2.38754139687559,-2.30056832524993
"2","0.5",-2.30882803092973,0.0217123557353517,-2.35138489795895,-2.26627116390051
"3","0.5",-1.76726782002856,0.0205392132832138,-1.80752529274284,-1.72701034731429
"1.7","0.7",-2.98631419951932,0.0164856309819781,-3.01862652961119,-2.95400186942745
"2","0.7",-2.86156893862098,0.0161877264182508,-2.89329736685253,-2.82984051038943
"3","0.7",-2.26819582195725,0.0156143971781734,-2.29880050772016,-2.23759113619433
"1.7","1",-3.37382327703095,0.0144746374449152,-3.40219399960697,-3.34545255445494
"2","1",-3.3602305641218,0.0143221688428951,-3.38830244367492,-3.33215868456869
"3","1",-2.63342114900938,0.0141220125456282,-2.66110071622976,-2.60574158178901
