"nH","T","fit","se","lower","upper"
"0.1","0.5",-2.65322787064604,0.0193964474982108,-2.69124548822204,-2.61521025307004
"0.5","0.5",-2.43492879438633,0.0207600546538946,-2.47561912279628,-2.39423846597638
"5","0.5",-1.85585388660741,0.0289144027172658,-1.91252698125759,-1.79918079195723
"10","0.5",-1.11417949248335,0.0368964529136174,-1.18649764439803,-1.04186134056867
"0.1","0.7",-3.0269906539783,0.0167506121645901,-3.05982235511821,-2.99415895283839
"0.5","0.7",-2.90603505566649,0.0171650399120217,-2.93967904759399,-2.87239106373899
"5","0.7",-2.45153250017859,0.0198894210723424,-2.49051636071316,-2.41254863964402
"10","0.7",-2.09618852500545,0.0223291945521796,-2.13995441457586,-2.05242263543505
"0.1","1",-3.43775735546075,0.0158590842683044,-3.4688416352431,-3.40667307567841
"0.5","1",-3.37809822028099,0.0159861728678377,-3.40943159752181,-3.34676484304017
"5","1",-2.71756229182796,0.0166048099857271,-2.75010821633387,-2.68501636732206
"10","1",-2.61509660837863,0.0173168627350897,-2.64903817758296,-2.5811550391743
