"nH","r","fit","se","lower","upper"
"0.1","0.2",-2.65862240531089,0.0166521988463259,-2.69126121340178,-2.62598359722
"0.5","0.2",-2.5622213325845,0.0170041132321722,-2.59554990340343,-2.52889276176558
"5","0.2",-1.79086216900508,0.0190548151364656,-1.82821017692799,-1.75351416108217
"10","0.2",-1.49803234322416,0.021122128618995,-1.53943234744153,-1.45663233900678
"0.1","0.5",-3.21487566699651,0.0171455296146452,-3.24848141815727,-3.18126991583576
"0.5","0.5",-3.07617029540876,0.0176181478323033,-3.11070239242022,-3.0416381983973
"5","0.5",-2.48166855940655,0.0201908760729894,-2.52124328076407,-2.44209383804904
"10","0.5",-2.01011916297485,0.0225261629775339,-2.05427111655365,-1.96596720939606
"0.1","0.9",-3.59583146174475,0.0176008034658161,-3.63032956327883,-3.56133336021067
"0.5","0.9",-3.48673374039498,0.0181016636617361,-3.52221354290235,-3.4512539378876
"5","0.9",-3.17102981121027,0.0212166484878718,-3.21261507719935,-3.12944454522119
"10","0.9",-2.96706142614005,0.024064185732165,-3.01422795034649,-2.91989490193361
